if ((rv) && ((!words && !wordnum &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtriple && !checkcompoundcase &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtriple && !checkcompoundcase &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtriple && !checkcompoundcase &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtriple && !checkcompoundcase &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtriple && !checkcompoundcase &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtriple && !checkcompoundcase &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtriple && !checkcompoundcase &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtriple && !checkcompoundcase &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtriple && !checkcompoundcase &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtriple && !checkcompoundcase &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtriple && !checkcompoundcase &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtriple && !checkcompoundcase &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtriple && !checkcompoundcase &&
              !checkcompoundrep && !checkcompounddup && !checkcompoundmorph &&
              !forbiddenword && !needaffix && !onlycpdrule && !onlycpd &&
              !simplifiedcpd && !checkcpdtable.empty() && !defcpdtable.empty() &&
              !compoundflag && !compoundbegin && !compoundmiddle && !compoundend &&
              !compoundroot && !compoundforbidflag && !compoundmoresuffixes &&
              !checkcompoundpattern && !checkcompoundtripl
