<MASK>
  mpz_t z;
  mpz_init_set_int(mrb, &z, 1);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mpz_mul(mrb, &z, &z, &z);
  mp
