face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
hb_face_t *face = faceptr;
h
